EntityName,EntityProperty,EntityPropertyType,ViewModelType,ViewModelProperty,ViewModelPropertyType,MappingStatus,Notes
Contract,ContractNumber,string,ContractCreateVM (Create),ContractNumber,string,Matched,
Contract,CustomerId,Guid,ContractCreateVM (Create),CustomerId,Guid,Matched,
Contract,TotalAmount,Money,ContractCreateVM (Create),TotalAmount,decimal,Flattened,Value object Money flattened to TotalAmount
Contract,StartDate,DateTime,ContractCreateVM (Create),StartDate,DateTime,Matched,
Contract,EndDate,DateTime?,ContractCreateVM (Create),EndDate,DateTime?,Matched,
Contract,Status,ContractStatus,ContractCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,InterestRate,decimal,ContractCreateVM (Create),InterestRate,decimal,Matched,
Contract,NumberOfInstallments,int,ContractCreateVM (Create),NumberOfInstallments,int,Matched,
Contract,ContractType,string?,ContractCreateVM (Create),ContractType,string,Matched,
Contract,PrincipalAmount,Money?,ContractCreateVM (Create),PrincipalAmount,decimal,Flattened,Value object Money? flattened to PrincipalAmount
Contract,TermInMonths,int?,ContractCreateVM (Create),TermInMonths,int,Matched,
Contract,PaymentFrequency,string?,ContractCreateVM (Create),PaymentFrequency,string,Matched,
Contract,GracePeriodDays,int?,ContractCreateVM (Create),GracePeriodDays,int,Matched,
Contract,LateFeePercentage,decimal?,ContractCreateVM (Create),LateFeePercentage,decimal,Matched,
Contract,PenaltyPercentage,decimal?,ContractCreateVM (Create),PenaltyPercentage,decimal,Matched,
Contract,CollateralDescription,string?,ContractCreateVM (Create),CollateralDescription,string?,Matched,
Contract,GuarantorName,string?,ContractCreateVM (Create),GuarantorName,string?,Derived,Computed/derived property
Contract,GuarantorContact,string?,ContractCreateVM (Create),GuarantorContact,string?,Matched,
Contract,Notes,string?,ContractCreateVM (Create),Notes,string?,Matched,
Contract,Customer,Customer?,ContractCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Installments,IReadOnlyCollection<Installment>,ContractCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Payments,IReadOnlyCollection<Payment>,ContractCreateVM (Create),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TotalAmount,Money,ContractCreateVM (Create),Currency,string,Flattened,Value object Money flattened to Currency
Contract,ContractNumber,string,ContractUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,CustomerId,Guid,ContractUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TotalAmount,Money,ContractUpdateVM (Update),TotalAmount,decimal,Flattened,Value object Money flattened to TotalAmount
Contract,StartDate,DateTime,ContractUpdateVM (Update),StartDate,DateTime,Matched,
Contract,EndDate,DateTime?,ContractUpdateVM (Update),EndDate,DateTime?,Matched,
Contract,Status,ContractStatus,ContractUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,InterestRate,decimal,ContractUpdateVM (Update),InterestRate,decimal,Matched,
Contract,NumberOfInstallments,int,ContractUpdateVM (Update),NumberOfInstallments,int,Matched,
Contract,ContractType,string?,ContractUpdateVM (Update),ContractType,string,Matched,
Contract,PrincipalAmount,Money?,ContractUpdateVM (Update),PrincipalAmount,decimal,Flattened,Value object Money? flattened to PrincipalAmount
Contract,TermInMonths,int?,ContractUpdateVM (Update),TermInMonths,int,Matched,
Contract,PaymentFrequency,string?,ContractUpdateVM (Update),PaymentFrequency,string,Matched,
Contract,GracePeriodDays,int?,ContractUpdateVM (Update),GracePeriodDays,int,Matched,
Contract,LateFeePercentage,decimal?,ContractUpdateVM (Update),LateFeePercentage,decimal,Matched,
Contract,PenaltyPercentage,decimal?,ContractUpdateVM (Update),PenaltyPercentage,decimal,Matched,
Contract,CollateralDescription,string?,ContractUpdateVM (Update),CollateralDescription,string?,Matched,
Contract,GuarantorName,string?,ContractUpdateVM (Update),GuarantorName,string?,Derived,Computed/derived property
Contract,GuarantorContact,string?,ContractUpdateVM (Update),GuarantorContact,string?,Matched,
Contract,Notes,string?,ContractUpdateVM (Update),Notes,string?,Matched,
Contract,Customer,Customer?,ContractUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Installments,IReadOnlyCollection<Installment>,ContractUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Payments,IReadOnlyCollection<Payment>,ContractUpdateVM (Update),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,,,ContractUpdateVM (Update),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Contract,TotalAmount,Money,ContractUpdateVM (Update),Currency,string,Flattened,Value object Money flattened to Currency
Contract,ContractNumber,string,ContractDetailVM (Detail),ContractNumber,string,Matched,
Contract,CustomerId,Guid,ContractDetailVM (Detail),CustomerId,Guid,Matched,
Contract,TotalAmount,Money,ContractDetailVM (Detail),TotalAmount,decimal,Flattened,Value object Money flattened to TotalAmount
Contract,StartDate,DateTime,ContractDetailVM (Detail),StartDate,DateTime,Matched,
Contract,EndDate,DateTime?,ContractDetailVM (Detail),EndDate,DateTime?,Matched,
Contract,Status,ContractStatus,ContractDetailVM (Detail),Status,ContractStatus,Matched,
Contract,InterestRate,decimal,ContractDetailVM (Detail),InterestRate,decimal,Matched,
Contract,NumberOfInstallments,int,ContractDetailVM (Detail),NumberOfInstallments,int,Matched,
Contract,ContractType,string?,ContractDetailVM (Detail),ContractType,string?,Matched,
Contract,PrincipalAmount,Money?,ContractDetailVM (Detail),PrincipalAmount,decimal?,Flattened,Value object Money? flattened to PrincipalAmount
Contract,TermInMonths,int?,ContractDetailVM (Detail),TermInMonths,int?,Matched,
Contract,PaymentFrequency,string?,ContractDetailVM (Detail),PaymentFrequency,string?,Matched,
Contract,GracePeriodDays,int?,ContractDetailVM (Detail),GracePeriodDays,int?,Matched,
Contract,LateFeePercentage,decimal?,ContractDetailVM (Detail),LateFeePercentage,decimal?,Matched,
Contract,PenaltyPercentage,decimal?,ContractDetailVM (Detail),PenaltyPercentage,decimal?,Matched,
Contract,CollateralDescription,string?,ContractDetailVM (Detail),CollateralDescription,string?,Matched,
Contract,GuarantorName,string?,ContractDetailVM (Detail),GuarantorName,string?,Derived,Computed/derived property
Contract,GuarantorContact,string?,ContractDetailVM (Detail),GuarantorContact,string?,Matched,
Contract,Notes,string?,ContractDetailVM (Detail),Notes,string?,Matched,
Contract,Customer,Customer?,ContractDetailVM (Detail),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Installments,IReadOnlyCollection<Installment>,ContractDetailVM (Detail),Installments,IReadOnlyList<ContractInstallmentSummaryVM>,TypeMismatch,Type mismatch: IReadOnlyCollection<Installment> vs IReadOnlyList<ContractInstallmentSummaryVM>
Contract,Payments,IReadOnlyCollection<Payment>,ContractDetailVM (Detail),Payments,IReadOnlyList<ContractPaymentSummaryVM>,TypeMismatch,Type mismatch: IReadOnlyCollection<Payment> vs IReadOnlyList<ContractPaymentSummaryVM>
Contract,,,ContractDetailVM (Detail),Id,Guid,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractDetailVM (Detail),CustomerName,string,Derived,Computed/derived property
Contract,TotalAmount,Money,ContractDetailVM (Detail),Currency,string,Flattened,Value object Money flattened to Currency
Contract,TotalAmount,Money,ContractDetailVM (Detail),OutstandingAmount,decimal,Flattened,Value object Money flattened to OutstandingAmount
Contract,,,ContractDetailVM (Detail),CreatedAt,DateTime,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractDetailVM (Detail),UpdatedAt,DateTime?,MissingInEntity,Property exists in ViewModel but not in entity
Contract,,,ContractDetailVM (Detail),StaffName,string?,Derived,Computed/derived property
Contract,ContractNumber,string,ContractListVM (List),ContractNumber,string,Matched,
Contract,CustomerId,Guid,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,TotalAmount,Money,ContractListVM (List),TotalAmount,decimal,Flattened,Value object Money flattened to TotalAmount
Contract,StartDate,DateTime,ContractListVM (List),StartDate,DateTime,Matched,
Contract,EndDate,DateTime?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,Status,ContractStatus,ContractListVM (List),Status,ContractStatus,Matched,
Contract,InterestRate,decimal,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,NumberOfInstallments,int,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,ContractType,string?,ContractListVM (List),ContractType,string?,Matched,
Contract,PrincipalAmount,Money?,ContractListVM (List),PrincipalAmount,decimal?,Flattened,Value object Money? flattened to PrincipalAmount
Contract,TermInMonths,int?,ContractListVM (List),TermInMonths,int?,Matched,
Contract,PaymentFrequency,string?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,GracePeriodDays,int?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
Contract,LateFeePercentage,decimal?,ContractListVM (List),,,MissingInViewModel,Property exists in entity but not in ViewModel
